os,ip,nic,target,suite name,case name,2019-10-18_result,ower
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,sriov_kvm,test_two_vms_add_multi_exact_mac_on_vf, N/A,
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,sriov_kvm,test_two_vms_add_multi_uta_mac_on_vf,failed,
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,sriov_kvm,test_two_vms_add_or_remove_uta_mac_on_vf,failed,
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,sriov_kvm,test_two_vms_downlink_mirror,passed,
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,sriov_kvm,test_two_vms_enalbe_or_disable_one_uta_mac_on_vf,failed,
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,sriov_kvm,test_two_vms_intervm_communication,passed,
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,sriov_kvm,test_two_vms_negative_input_commands,passed,
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,sriov_kvm,test_two_vms_pause_rx_queues,passed,
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,sriov_kvm,test_two_vms_pause_tx_queuse,passed,
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,sriov_kvm,test_two_vms_pool_mirror,passed,
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,sriov_kvm,test_two_vms_prevent_rx_broadcast_on_vf,passed,
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,sriov_kvm,test_two_vms_uplink_and_downlink_mirror,passed,
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,sriov_kvm,test_two_vms_uplink_mirror,passed,
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,sriov_kvm,test_two_vms_vlan_and_pool_and_uplink_and_downlink,passed,
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,sriov_kvm,test_two_vms_vlan_and_pool_mirror,failed,
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,sriov_kvm,test_two_vms_vlan_mirror,failed,
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,vf_interrupt_pmd,test_nic_interrupt_PF_igb_uio,passed,
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,vf_interrupt_pmd,test_nic_interrupt_PF_vfio_pci,passed,
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,vf_interrupt_pmd,test_nic_interrupt_VF_vfio_pci,passed,
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,vf_interrupt_pmd,test_nic_interrupt_VM_vfio_pci,passed,
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,vf_jumboframe,test_vf_jumbo_nojumbo,passed,
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,vf_jumboframe,test_vf_jumbo_overjumbo,passed,
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,vf_jumboframe,test_vf_jumbo_withjumbo,passed,
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,vf_jumboframe,test_vf_normal_nojumbo,passed,
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,vf_jumboframe,test_vf_normal_withjumbo,passed,
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,vf_macfilter,test_dpdk_2pf_2vf_1vm_iplink_macfilter,passed,
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,vf_macfilter,test_dpdk_2pf_2vf_1vm_mac_add_filter, N/A,
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,vf_macfilter,test_kernel_2pf_2vf_1vm_iplink_macfilter,passed,
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,vf_macfilter,test_kernel_2pf_2vf_1vm_mac_add_filter,passed,
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,vf_offload,test_checksum_offload_disable,passed,
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,vf_offload,test_checksum_offload_enable,passed,
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,vf_offload,test_tso,passed,
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,vf_packet_rxtx,test_dpdk_2pf_2vf_1vm,passed,
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,vf_packet_rxtx,test_dpdk_pf_vf_reset,passed,
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,vf_packet_rxtx,test_kernel_2pf_2vf_1vm,passed,
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,vf_packet_rxtx,test_kernel_pf_vf_reset,passed,
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,vf_to_vf_nic_bridge,test_2vf_d2d_testpmd_stream,passed,
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,vf_to_vf_nic_bridge,test_2vf_d2k_testpmd_stream,passed,
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,vf_to_vf_nic_bridge,test_2vf_k2d_scapy_stream,passed,
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,vf_vlan,test_add_pvid_vf,passed,
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,vf_vlan,test_pvid_vf_tx,passed,
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,vf_vlan,test_vf_vlan_rx,passed,
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,vf_vlan,test_vf_vlan_strip,passed,
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,vf_vlan,test_vf_vlan_tx, N/A,
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,vm_power_manager,test_managment_channel,blocked,
